资金,日期(月/日/年),操作
500,9/12/16,1
501.03,9/13/16,1
499.31,9/14/16,1
500.59,9/15/16,1
499.55,9/16/16,1
497.85,9/17/16,1
501.57,9/18/16,1
500.43,9/19/16,1
499.18,9/20/16,2
493.974,9/21/16,2
498.82,9/22/16,0
498.82,9/23/16,2
499.51,9/24/16,2
499.51,9/25/16,2
499.51,9/26/16,0
499.51,9/27/16,0
499.51,9/28/16,0
499.51,9/29/16,2
501.18,9/30/16,0
501.18,10/1/16,0
501.18,10/2/16,0
501.18,10/3/16,0
501.18,10/4/16,0
501.18,10/5/16,0
501.18,10/6/16,2
502.88,10/7/16,2
503.18,10/8/16,2
503.18,10/9/16,2
503.18,10/10/16,0
503.18,10/11/16,1
509.56,10/12/16,1
510.32,10/13/16,1
508.76,10/14/16,1
511.91,10/15/16,1
514.7,10/16/16,1
512.73,10/17/16,1
510.58,10/18/16,1
504.93,10/19/16,1
503.7,10/20/16,1
507.07,10/21/16,1
525.98,10/22/16,1
524.19,10/23/16,1
522.7,10/24/16,1
525.85,10/25/16,1
522.75,10/26/16,1
547.44,10/27/16,1
551.82,10/28/16,1
550.4,10/29/16,1
560.1,10/30/16,1
563.31,10/31/16,2
559.407,11/1/16,1
577.016,11/2/16,0
565.7,11/3/16,2
566.48,11/4/16,1
572.512,11/5/16,1
578.37,11/6/16,1
576.71,11/7/16,1
575.91,11/8/16,1
585.63,11/9/16,1
586.09,11/10/16,1
581.18,11/11/16,1
571.64,11/12/16,1
570.48,11/13/16,1
573.88,11/14/16,1
577.49,11/15/16,1
578.16,11/16/16,1
598.66,11/17/16,1
607.24,11/18/16,1
608.43,11/19/16,0
596.5,11/20/16,0
596.5,11/21/16,0
596.5,11/22/16,0
596.5,11/23/16,2
596.88,11/24/16,2
597.69,11/25/16,0
597.69,11/26/16,0
597.69,11/27/16,0
597.69,11/28/16,0
597.69,11/29/16,0
597.69,11/30/16,0
597.69,12/1/16,1
609.96,12/2/16,1
603.56,12/3/16,1
602.49,12/4/16,1
595.9,12/5/16,1
597.47,12/6/16,1
599.34,12/7/16,1
607.81,12/8/16,1
608.05,12/9/16,1
607.31,12/10/16,1
613.56,12/11/16,1
613.56,12/12/16,1
614.34,12/13/16,1
611.89,12/14/16,1
613.36,12/15/16,1
612.67,12/16/16,1
622.79,12/17/16,1
622.55,12/18/16,1
622.76,12/19/16,1
626.25,12/20/16,1
650.82,12/21/16,1
659.32,12/22/16,1
711.7,12/23/16,1
704.04,12/24/16,1
704.82,12/25/16,1
708.55,12/26/16,1
734.64,12/27/16,1
734.62,12/28/16,1
760.71,12/29/16,1
751.84,12/30/16,1
756.55,12/31/16,1
787.82,1/1/17,1
802.23,1/2/17,1
800.22,1/3/17,1
889.72,1/4/17,0
872.27,1/5/17,0
872.27,1/6/17,0
872.27,1/7/17,0
872.27,1/8/17,0
872.27,1/9/17,0
872.27,1/10/17,0
872.27,1/11/17,2
874.4,1/12/17,1
889.616,1/13/17,1
880.59,1/14/17,1
882.36,1/15/17,1
894.15,1/16/17,1
973.11,1/17/17,1
976.08,1/18/17,1
964.45,1/19/17,1
962.11,1/20/17,1
964.28,1/21/17,1
989.0,1/22/17,1
992.74,1/23/17,1
990.48,1/24/17,0
971.06,1/25/17,1
976.44,1/26/17,1
975.47,1/27/17,1
981.08,1/28/17,1
976.41,1/29/17,1
972.42,1/30/17,1
1028.4,1/31/17,1
1044.39,2/1/17,1
1048.35,2/2/17,1
1079.91,2/3/17,1
1099.07,2/4/17,1
1102.34,2/5/17,1
1091.62,2/6/17,1
1119.44,2/7/17,1
1122.35,2/8/17,0
1100.34,2/9/17,1
1104.18,2/10/17,1
1102.51,2/11/17,1
1105.84,2/12/17,1
1105.04,2/13/17,1
1106.5,2/14/17,1
1118.8,2/15/17,1
1144.09,2/16/17,1
1144.08,2/17/17,1
1167.77,2/18/17,1
1163.51,2/19/17,1
1161.4,2/20/17,1
1241.99,2/21/17,1
1241.37,2/22/17,1
1248.87,2/23/17,1
1298.44,2/24/17,0
1272.98,2/25/17,0
1272.98,2/26/17,1
1291.83,2/27/17,1
1288.37,2/28/17,1
1291.98,3/1/17,1
1366.32,3/2/17,1
1394.23,3/3/17,1
1396.25,3/4/17,1
1378.82,3/5/17,1
1383.45,3/6/17,1
1388.12,3/7/17,0
1360.9,3/8/17,1
1374.65,3/9/17,1
1374.21,3/10/17,1
1359.3,3/11/17,1
1415.02,3/12/17,1
1415.23,3/13/17,1
1435.62,3/14/17,1
1449.49,3/15/17,1
1449.03,3/16/17,0
1420.62,3/17/17,0
1420.62,3/18/17,0
1420.62,3/19/17,1
1509.91,3/20/17,1
1610.0,3/21/17,1
1601.9,3/22/17,0
1570.49,3/23/17,0
1570.49,3/24/17,0
1570.49,3/25/17,1
1587.58,3/26/17,1
1721.06,3/27/17,1
1727.38,3/28/17,1
1726.61,3/29/17,1
1722.18,3/30/17,1
1716.93,3/31/17,1
1803.53,4/1/17,1
1823.84,4/2/17,1
1792.02,4/3/17,1
1894.25,4/4/17,1
1880.11,4/5/17,1
1880.86,4/6/17,1
1975.31,4/7/17,1
1959.87,4/8/17,1
1964.65,4/9/17,1
2004.0,4/10/17,1
2035.31,4/11/17,1
2022.82,4/12/17,0
1983.16,4/13/17,0
1983.16,4/14/17,0
1983.16,4/15/17,0
1983.16,4/16/17,0
1983.16,4/17/17,0
1983.16,4/18/17,1
2011.94,4/19/17,1
2051.18,4/20/17,1
2042.83,4/21/17,1
2083.6,4/22/17,1
2078.11,4/23/17,1
2049.78,4/24/17,1
2113.5,4/25/17,1
2162.55,4/26/17,1
2127.71,4/27/17,1
2199.2,4/28/17,1
2205.29,4/29/17,1
2202.02,4/30/17,1
2341.07,5/1/17,1
2398.73,5/2/17,1
2391.25,5/3/17,1
2491.59,5/4/17,1
2532.96,5/5/17,1
2508.87,5/6/17,1
2537.15,5/7/17,1
2710.19,5/8/17,1
2727.5,5/9/17,1
2912.16,5/10/17,1
3008.14,5/11/17,1
3021.37,5/12/17,0
2962.13,5/13/17,0
2962.13,5/14/17,0
2962.13,5/15/17,0
2962.13,5/16/17,1
3018.36,5/17/17,1
2979.11,5/18/17,1
3275.59,5/19/17,1
3428.2,5/20/17,0
3360.98,5/21/17,1
3429.29,5/22/17,1
3752.51,5/23/17,1
3701.02,5/24/17,1
3915.71,5/25/17,0
3838.93,5/26/17,1
3879.09,5/27/17,0
3803.03,5/28/17,1
3869.49,5/29/17,1
3893.44,5/30/17,1
3886.49,5/31/17,1
4079.13,6/1/17,1
4097.3,6/2/17,1
4294.24,6/3/17,1
4277.93,6/4/17,1
4300.64,6/5/17,1
4902.13,6/6/17,0
4806.01,6/7/17,0
4806.01,6/8/17,1
4965.47,6/9/17,1
4996.87,6/10/17,1
5090.4,6/11/17,0
4990.59,6/12/17,1
5059.36,6/13/17,1
4981.7,6/14/17,0
4884.02,6/15/17,0
4884.02,6/16/17,0
4884.02,6/17/17,0
4884.02,6/18/17,1
4997.98,6/19/17,1
4965.11,6/20/17,1
5100.78,6/21/17,1
5208.19,6/22/17,1
5181.82,6/23/17,0
5080.22,6/24/17,0
5080.22,6/25/17,0
5080.22,6/26/17,0
