资金,日期(月/日/年),操作
1000,9/12/16,1
1002.05,9/13/16,1
998.61,9/14/16,1
1001.17,9/15/16,1
999.09,9/16/16,1
995.69,9/17/16,1
1003.14,9/18/16,1
1000.86,9/19/16,1
998.35,9/20/16,1
982.31,9/21/16,1
979.92,9/22/16,1
974.44,9/23/16,1
990.51,9/24/16,1
987.0,9/25/16,1
982.47,9/26/16,1
993.92,9/27/16,1
993.44,9/28/16,1
990.45,9/29/16,1
999.54,9/30/16,1
1008.45,10/1/16,1
1005.43,10/2/16,1
1003.58,10/3/16,1
999.92,10/4/16,1
995.92,10/5/16,1
1003.96,10/6/16,1
1012.37,10/7/16,1
1008.32,10/8/16,1
1009.81,10/9/16,1
1012.91,10/10/16,1
1008.37,10/11/16,1
1041.57,10/12/16,1
1043.13,10/13/16,1
1039.95,10/14/16,1
1046.38,10/15/16,1
1052.09,10/16/16,1
1048.07,10/17/16,1
1043.67,10/18/16,1
1032.12,10/19/16,1
1029.61,10/20/16,1
1036.5,10/21/16,1
1075.14,10/22/16,1
1071.48,10/23/16,1
1068.43,10/24/16,1
1074.86,10/25/16,1
1068.53,10/26/16,1
1119.0,10/27/16,1
1127.96,10/28/16,1
1125.06,10/29/16,1
1144.89,10/30/16,1
1151.45,10/31/16,1
1143.27,11/1/16,1
1202.84,11/2/16,0
1179.25,11/3/16,0
1179.25,11/4/16,1
1191.81,11/5/16,1
1204.0,11/6/16,1
1200.55,11/7/16,1
1198.88,11/8/16,1
1219.1,11/9/16,1
1220.06,11/10/16,1
1209.83,11/11/16,1
1189.98,11/12/16,1
1187.56,11/13/16,1
1194.63,11/14/16,1
1202.15,11/15/16,1
1203.54,11/16/16,1
1246.2,11/17/16,1
1264.06,11/18/16,1
1266.53,11/19/16,0
1241.7,11/20/16,0
1241.7,11/21/16,0
1241.7,11/22/16,0
1241.7,11/23/16,0
1241.7,11/24/16,0
1241.7,11/25/16,0
1241.7,11/26/16,0
1241.7,11/27/16,0
1241.7,11/28/16,0
1241.7,11/29/16,0
1241.7,11/30/16,0
1241.7,12/1/16,1
1267.19,12/2/16,1
1253.9,12/3/16,1
1251.67,12/4/16,1
1237.99,12/5/16,1
1241.25,12/6/16,1
1245.14,12/7/16,1
1262.74,12/8/16,1
1263.23,12/9/16,1
1261.69,12/10/16,1
1274.68,12/11/16,1
1274.68,12/12/16,1
1276.3,12/13/16,1
1271.21,12/14/16,1
1274.26,12/15/16,1
1272.83,12/16/16,1
1293.86,12/17/16,1
1293.37,12/18/16,1
1293.81,12/19/16,1
1301.06,12/20/16,1
1352.11,12/21/16,1
1369.76,12/22/16,1
1478.59,12/23/16,1
1462.68,12/24/16,1
1464.3,12/25/16,1
1472.06,12/26/16,1
1526.26,12/27/16,1
1526.21,12/28/16,1
1580.41,12/29/16,1
1561.99,12/30/16,1
1571.78,12/31/16,1
1636.74,1/1/17,1
1666.68,1/2/17,1
1662.5,1/3/17,1
1848.43,1/4/17,2
1813.783,1/5/17,2
1812.47,1/6/17,2
1816.55,1/7/17,2
1816.55,1/8/17,2
1816.55,1/9/17,2
1833.51,1/10/17,2
1816.63,1/11/17,2
1857.48,1/12/17,1
1908.152,1/13/17,1
1888.8,1/14/17,1
1892.59,1/15/17,1
1917.88,1/16/17,1
2087.24,1/17/17,1
2093.61,1/18/17,1
2068.67,1/19/17,1
2063.64,1/20/17,1
2068.3,1/21/17,1
2121.33,1/22/17,1
2129.34,1/23/17,1
2124.48,1/24/17,0
2082.82,1/25/17,1
2094.37,1/26/17,1
2092.3,1/27/17,1
2104.33,1/28/17,1
2094.32,1/29/17,1
2085.76,1/30/17,1
2205.84,1/31/17,1
2240.13,2/1/17,1
2248.63,2/2/17,1
2316.33,2/3/17,1
2357.42,2/4/17,1
2364.44,2/5/17,1
2341.45,2/6/17,1
2401.12,2/7/17,1
2407.36,2/8/17,0
2360.16,2/9/17,1
2368.41,2/10/17,1
2364.82,2/11/17,1
2371.97,2/12/17,1
2370.25,2/13/17,1
2373.39,2/14/17,1
2399.76,2/15/17,1
2454.0,2/16/17,1
2453.98,2/17/17,1
2504.8,2/18/17,1
2495.65,2/19/17,1
2491.12,2/20/17,1
2663.98,2/21/17,1
2662.64,2/22/17,1
2678.73,2/23/17,1
2785.06,2/24/17,0
2730.45,2/25/17,0
2730.45,2/26/17,1
2770.88,2/27/17,1
2763.46,2/28/17,1
2771.2,3/1/17,1
2930.65,3/2/17,1
2990.52,3/3/17,1
2994.85,3/4/17,1
2957.46,3/5/17,1
2967.38,3/6/17,1
2977.39,3/7/17,0
2919.01,3/8/17,1
2948.5,3/9/17,1
2947.56,3/10/17,1
2915.59,3/11/17,1
3035.1,3/12/17,1
3035.56,3/13/17,1
3079.3,3/14/17,1
3109.04,3/15/17,1
3108.05,3/16/17,0
3047.11,3/17/17,0
3047.11,3/18/17,0
3047.11,3/19/17,1
3238.64,3/20/17,1
3453.33,3/21/17,1
3435.95,3/22/17,0
3368.58,3/23/17,0
3368.58,3/24/17,0
3368.58,3/25/17,1
3405.23,3/26/17,1
3691.53,3/27/17,1
3705.09,3/28/17,1
3703.44,3/29/17,1
3693.93,3/30/17,1
3682.67,3/31/17,1
3868.41,4/1/17,1
3911.97,4/2/17,1
3843.71,4/3/17,1
4062.98,4/4/17,1
4032.65,4/5/17,1
4034.25,4/6/17,1
4236.84,4/7/17,1
4203.73,4/8/17,1
4213.98,4/9/17,1
4298.38,4/10/17,1
4365.55,4/11/17,1
4338.76,4/12/17,0
4253.69,4/13/17,0
4253.69,4/14/17,0
4253.69,4/15/17,0
4253.69,4/16/17,0
4253.69,4/17/17,0
4253.69,4/18/17,1
4315.42,4/19/17,1
4399.59,4/20/17,1
4381.67,4/21/17,1
4469.12,4/22/17,1
4457.35,4/23/17,1
4396.59,4/24/17,1
4533.27,4/25/17,1
4638.49,4/26/17,1
4563.76,4/27/17,1
4717.09,4/28/17,1
4730.15,4/29/17,1
4723.14,4/30/17,1
5021.38,5/1/17,1
5145.05,5/2/17,1
5129.01,5/3/17,1
5344.23,5/4/17,1
5432.96,5/5/17,1
5381.28,5/6/17,1
5441.93,5/7/17,1
5813.09,5/8/17,1
5850.23,5/9/17,1
6246.31,5/10/17,1
6452.19,5/11/17,1
6480.57,5/12/17,0
6353.5,5/13/17,0
6353.5,5/14/17,0
6353.5,5/15/17,0
6353.5,5/16/17,1
6474.11,5/17/17,1
6389.92,5/18/17,1
7025.84,5/19/17,1
7353.18,5/20/17,0
7209.0,5/21/17,1
7355.52,5/22/17,1
8048.79,5/23/17,1
7938.35,5/24/17,1
8398.84,5/25/17,0
8234.16,5/26/17,1
8320.3,5/27/17,0
8157.16,5/28/17,1
8299.71,5/29/17,1
8351.09,5/30/17,1
8336.19,5/31/17,1
8749.4,6/1/17,1
8788.37,6/2/17,1
9210.79,6/3/17,1
9175.81,6/4/17,1
9224.52,6/5/17,1
10514.67,6/6/17,0
10308.5,6/7/17,0
10308.5,6/8/17,1
10650.53,6/9/17,1
10717.89,6/10/17,1
10918.5,6/11/17,0
10704.41,6/12/17,1
10851.92,6/13/17,1
10685.34,6/14/17,0
10475.82,6/15/17,0
10475.82,6/16/17,0
10475.82,6/17/17,0
10475.82,6/18/17,1
10720.24,6/19/17,1
10649.75,6/20/17,1
10940.75,6/21/17,1
11171.13,6/22/17,1
11114.57,6/23/17,0
10896.64,6/24/17,0
10896.64,6/25/17,0
10896.64,6/26/17,0
10896.64,6/27/17,1
10969.14,6/28/17,1
10854.38,6/29/17,0
10641.55,6/30/17,0
10641.55,7/1/17,0
10641.55,7/2/17,1
11035.98,7/3/17,1
11201.89,7/4/17,1
11198.27,7/5/17,1
11246.0,7/6/17,0
11025.49,7/7/17,0
11025.49,7/8/17,0
11025.49,7/9/17,0
11025.49,7/10/17,0
11025.49,7/11/17,1
11081.77,7/12/17,1
10937.94,7/13/17,1
10862.26,7/14/17,0
10649.27,7/15/17,0
10649.27,7/16/17,0
10649.27,7/17/17,1
12675.9,7/18/17,0
12427.35,7/19/17,0
12427.35,7/20/17,1
14426.48,7/21/17,1
15101.04,7/22/17,1
15197.32,7/23/17,0
14899.33,7/24/17,0
14899.33,7/25/17,0
14899.33,7/26/17,1
15081.84,7/27/17,1
15845.22,7/28/17,1
15863.24,7/29/17,1
15641.97,7/30/17,1
16328.25,7/31/17,1
16308.13,8/1/17,0
15988.36,8/2/17,1
16259.6,8/3/17,1
16235.64,8/4/17,1
18726.94,8/5/17,1
18927.4,8/6/17,1
18680.88,8/7/17,1
20119.24,8/8/17,0
19724.75,8/9/17,2
19734.58,8/10/17,1
20835.993,8/11/17,1
22099.61,8/12/17,1
22189.76,8/13/17,1
24567.16,8/14/17,1
24188.79,8/15/17,1
23976.22,8/16/17,1
24829.48,8/17/17,0
24342.63,8/18/17,0
