资金,日期(月/日/年),操作
2000,9/12/16,1
2000,9/12/16,1
2004.1,9/13/16,1
2004.1,9/13/16,1
1997.21,9/14/16,1
1997.21,9/14/16,1
2002.33,9/15/16,1
2002.33,9/15/16,1
1998.16,9/16/16,1
1998.16,9/16/16,1
1991.37,9/17/16,1
1991.37,9/17/16,1
2006.26,9/18/16,1
2006.26,9/18/16,1
2001.7,9/19/16,1
2001.7,9/19/16,1
1996.68,9/20/16,1
1996.68,9/20/16,1
1964.6,9/21/16,1
1964.6,9/21/16,1
1959.81,9/22/16,1
1959.81,9/22/16,1
1948.85,9/23/16,1
1948.85,9/23/16,1
1981.0,9/24/16,1
1981.0,9/24/16,1
1973.98,9/25/16,1
1973.98,9/25/16,1
1964.93,9/26/16,1
1964.93,9/26/16,1
1987.83,9/27/16,1
1987.83,9/27/16,1
1986.88,9/28/16,1
1986.88,9/28/16,1
1980.91,9/29/16,1
1980.91,9/29/16,1
1999.08,9/30/16,1
1999.08,9/30/16,1
2016.89,10/1/16,1
2016.89,10/1/16,1
2010.85,10/2/16,1
2010.85,10/2/16,1
2007.14,10/3/16,1
2007.14,10/3/16,1
1999.82,10/4/16,1
1999.82,10/4/16,1
1991.82,10/5/16,1
1991.82,10/5/16,1
2007.89,10/6/16,1
2007.89,10/6/16,1
2024.72,10/7/16,1
2024.72,10/7/16,1
2016.62,10/8/16,1
2016.62,10/8/16,1
2019.61,10/9/16,1
2019.61,10/9/16,1
2025.81,10/10/16,1
2025.81,10/10/16,1
2016.72,10/11/16,1
2016.72,10/11/16,1
2083.12,10/12/16,1
2083.12,10/12/16,1
2086.24,10/13/16,1
2086.24,10/13/16,1
2079.88,10/14/16,1
2079.88,10/14/16,1
2092.74,10/15/16,1
2092.74,10/15/16,1
2104.16,10/16/16,1
2104.16,10/16/16,1
2096.12,10/17/16,1
2096.12,10/17/16,1
2087.33,10/18/16,1
2087.33,10/18/16,1
2064.24,10/19/16,1
2064.24,10/19/16,1
2059.22,10/20/16,1
2059.22,10/20/16,1
2073.0,10/21/16,1
2073.0,10/21/16,1
2150.29,10/22/16,1
2150.29,10/22/16,1
2142.97,10/23/16,1
2142.97,10/23/16,1
2136.87,10/24/16,1
2136.87,10/24/16,1
2149.73,10/25/16,1
2149.73,10/25/16,1
2137.07,10/26/16,1
2137.07,10/26/16,1
2238.01,10/27/16,1
2238.01,10/27/16,1
2255.92,10/28/16,1
2255.92,10/28/16,1
2250.11,10/29/16,1
2250.11,10/29/16,1
2289.77,10/30/16,1
2289.77,10/30/16,1
2302.89,10/31/16,1
2302.89,10/31/16,1
2286.52,11/1/16,1
2286.52,11/1/16,1
2405.67,11/2/16,0
2405.67,11/2/16,0
2358.5,11/3/16,0
2358.5,11/3/16,0
2358.5,11/4/16,1
2358.5,11/4/16,1
2383.62,11/5/16,1
2383.62,11/5/16,1
2408.0,11/6/16,1
2408.0,11/6/16,1
2401.1,11/7/16,1
2401.1,11/7/16,1
2397.75,11/8/16,1
2397.75,11/8/16,1
2438.2,11/9/16,1
2438.2,11/9/16,1
2440.13,11/10/16,1
2440.13,11/10/16,1
2419.67,11/11/16,1
2419.67,11/11/16,1
2379.97,11/12/16,1
2379.97,11/12/16,1
2375.13,11/13/16,1
2375.13,11/13/16,1
2389.27,11/14/16,1
2389.27,11/14/16,1
2404.32,11/15/16,1
2404.32,11/15/16,1
2407.09,11/16/16,1
2407.09,11/16/16,1
2492.42,11/17/16,1
2492.42,11/17/16,1
2528.13,11/18/16,1
2528.13,11/18/16,1
2533.07,11/19/16,0
2533.07,11/19/16,0
2483.4,11/20/16,0
2483.4,11/20/16,0
2483.4,11/21/16,0
2483.4,11/21/16,0
2483.4,11/22/16,0
2483.4,11/22/16,0
2483.4,11/23/16,0
2483.4,11/23/16,0
2483.4,11/24/16,0
2483.4,11/24/16,0
2483.4,11/25/16,0
2483.4,11/25/16,0
2483.4,11/26/16,0
2483.4,11/26/16,0
2483.4,11/27/16,0
2483.4,11/27/16,0
2483.4,11/28/16,0
2483.4,11/28/16,0
2483.4,11/29/16,0
2483.4,11/29/16,0
2483.4,11/30/16,0
2483.4,11/30/16,0
2483.4,12/1/16,1
2483.4,12/1/16,1
2534.38,12/2/16,1
2534.38,12/2/16,1
2507.8,12/3/16,1
2507.8,12/3/16,1
2503.34,12/4/16,1
2503.34,12/4/16,1
2475.98,12/5/16,1
2475.98,12/5/16,1
2482.51,12/6/16,1
2482.51,12/6/16,1
2490.29,12/7/16,1
2490.29,12/7/16,1
2525.5,12/8/16,1
2525.5,12/8/16,1
2526.48,12/9/16,1
2526.48,12/9/16,1
2523.4,12/10/16,1
2523.4,12/10/16,1
2549.39,12/11/16,1
2549.39,12/11/16,1
2549.39,12/12/16,1
2549.39,12/12/16,1
2552.64,12/13/16,1
2552.64,12/13/16,1
2542.47,12/14/16,1
2542.47,12/14/16,1
2548.57,12/15/16,1
2548.57,12/15/16,1
2545.72,12/16/16,1
2545.72,12/16/16,1
2587.78,12/17/16,1
2587.78,12/17/16,1
2586.8,12/18/16,1
2586.8,12/18/16,1
2587.69,12/19/16,1
2587.69,12/19/16,1
2602.19,12/20/16,1
2602.19,12/20/16,1
2704.3,12/21/16,1
2704.3,12/21/16,1
2739.6,12/22/16,1
2739.6,12/22/16,1
2957.27,12/23/16,1
2957.27,12/23/16,1
2925.44,12/24/16,1
2925.44,12/24/16,1
2928.69,12/25/16,1
2928.69,12/25/16,1
2944.21,12/26/16,1
2944.21,12/26/16,1
3052.62,12/27/16,1
3052.62,12/27/16,1
3052.52,12/28/16,1
3052.52,12/28/16,1
3160.93,12/29/16,1
3160.93,12/29/16,1
3124.08,12/30/16,1
3124.08,12/30/16,1
3143.67,12/31/16,1
3143.67,12/31/16,1
3273.6,1/1/17,1
3273.6,1/1/17,1
3333.48,1/2/17,1
3333.48,1/2/17,1
3325.11,1/3/17,1
3325.11,1/3/17,1
3696.99,1/4/17,2
3696.99,1/4/17,2
3627.693,1/5/17,2
3627.693,1/5/17,2
3625.07,1/6/17,2
3625.07,1/6/17,2
3633.24,1/7/17,2
3633.24,1/7/17,2
3633.24,1/8/17,2
3633.24,1/8/17,2
3633.24,1/9/17,2
3633.24,1/9/17,2
3667.15,1/10/17,2
3667.15,1/10/17,2
3633.39,1/11/17,2
3633.39,1/11/17,2
3715.09,1/12/17,1
3715.09,1/12/17,1
3816.437,1/13/17,1
3816.437,1/13/17,1
3777.73,1/14/17,1
3777.73,1/14/17,1
3785.3,1/15/17,1
3785.3,1/15/17,1
3835.88,1/16/17,1
3835.88,1/16/17,1
4174.62,1/17/17,1
4174.62,1/17/17,1
4187.37,1/18/17,1
4187.37,1/18/17,1
4137.48,1/19/17,1
4137.48,1/19/17,1
4127.42,1/20/17,1
4127.42,1/20/17,1
4136.74,1/21/17,1
4136.74,1/21/17,1
4242.8,1/22/17,1
4242.8,1/22/17,1
4258.83,1/23/17,1
4258.83,1/23/17,1
4249.11,1/24/17,0
4249.11,1/24/17,0
4165.79,1/25/17,1
4165.79,1/25/17,1
4188.88,1/26/17,1
4188.88,1/26/17,1
4184.74,1/27/17,1
4184.74,1/27/17,1
4208.81,1/28/17,1
4208.81,1/28/17,1
4188.78,1/29/17,1
4188.78,1/29/17,1
4171.66,1/30/17,1
4171.66,1/30/17,1
4411.83,1/31/17,1
4411.83,1/31/17,1
4480.42,2/1/17,1
4480.42,2/1/17,1
4497.41,2/2/17,1
4497.41,2/2/17,1
4632.81,2/3/17,1
4632.81,2/3/17,1
4715.0,2/4/17,1
4715.0,2/4/17,1
4729.04,2/5/17,1
4729.04,2/5/17,1
4683.05,2/6/17,1
4683.05,2/6/17,1
4802.39,2/7/17,1
4802.39,2/7/17,1
4814.87,2/8/17,0
4814.87,2/8/17,0
4720.46,2/9/17,1
4720.46,2/9/17,1
4736.95,2/10/17,1
4736.95,2/10/17,1
4729.77,2/11/17,1
4729.77,2/11/17,1
4744.06,2/12/17,1
4744.06,2/12/17,1
4740.61,2/13/17,1
4740.61,2/13/17,1
4746.88,2/14/17,1
4746.88,2/14/17,1
4799.63,2/15/17,1
4799.63,2/15/17,1
4908.12,2/16/17,1
4908.12,2/16/17,1
4908.08,2/17/17,1
4908.08,2/17/17,1
5009.72,2/18/17,1
5009.72,2/18/17,1
4991.43,2/19/17,1
4991.43,2/19/17,1
4982.38,2/20/17,1
4982.38,2/20/17,1
5328.1,2/21/17,1
5328.1,2/21/17,1
5325.42,2/22/17,1
5325.42,2/22/17,1
5357.6,2/23/17,1
5357.6,2/23/17,1
5570.27,2/24/17,0
5570.27,2/24/17,0
5461.05,2/25/17,0
5461.05,2/25/17,0
5461.05,2/26/17,1
5461.05,2/26/17,1
5541.91,2/27/17,1
5541.91,2/27/17,1
5527.08,2/28/17,1
5527.08,2/28/17,1
5542.55,3/1/17,1
5542.55,3/1/17,1
5861.45,3/2/17,1
5861.45,3/2/17,1
5981.2,3/3/17,1
5981.2,3/3/17,1
5989.86,3/4/17,1
5989.86,3/4/17,1
5915.08,3/5/17,1
5915.08,3/5/17,1
5934.93,3/6/17,1
5934.93,3/6/17,1
5954.95,3/7/17,0
5954.95,3/7/17,0
5838.19,3/8/17,1
5838.19,3/8/17,1
5897.18,3/9/17,1
5897.18,3/9/17,1
5895.31,3/10/17,1
5895.31,3/10/17,1
5831.37,3/11/17,1
5831.37,3/11/17,1
6070.4,3/12/17,1
6070.4,3/12/17,1
6071.32,3/13/17,1
6071.32,3/13/17,1
6158.81,3/14/17,1
6158.81,3/14/17,1
6218.3,3/15/17,1
6218.3,3/15/17,1
6216.32,3/16/17,0
6216.32,3/16/17,0
6094.43,3/17/17,0
6094.43,3/17/17,0
6094.43,3/18/17,0
6094.43,3/18/17,0
6094.43,3/19/17,1
6094.43,3/19/17,1
6477.5,3/20/17,1
6477.5,3/20/17,1
6906.9,3/21/17,1
6906.9,3/21/17,1
6872.14,3/22/17,0
6872.14,3/22/17,0
6737.39,3/23/17,0
6737.39,3/23/17,0
6737.39,3/24/17,0
6737.39,3/24/17,0
6737.39,3/25/17,1
6737.39,3/25/17,1
6810.69,3/26/17,1
6810.69,3/26/17,1
7383.31,3/27/17,1
7383.31,3/27/17,1
7410.44,3/28/17,1
7410.44,3/28/17,1
7407.13,3/29/17,1
7407.13,3/29/17,1
7388.12,3/30/17,1
7388.12,3/30/17,1
7365.59,3/31/17,1
7365.59,3/31/17,1
7737.09,4/1/17,1
7737.09,4/1/17,1
7824.21,4/2/17,1
7824.21,4/2/17,1
7687.69,4/3/17,1
7687.69,4/3/17,1
8126.25,4/4/17,1
8126.25,4/4/17,1
8065.59,4/5/17,1
8065.59,4/5/17,1
8068.8,4/6/17,1
8068.8,4/6/17,1
8474.0,4/7/17,1
8474.0,4/7/17,1
8407.77,4/8/17,1
8407.77,4/8/17,1
8428.27,4/9/17,1
8428.27,4/9/17,1
8597.08,4/10/17,1
8597.08,4/10/17,1
8731.42,4/11/17,1
8731.42,4/11/17,1
8677.84,4/12/17,0
8677.84,4/12/17,0
8507.69,4/13/17,0
8507.69,4/13/17,0
8507.69,4/14/17,0
8507.69,4/14/17,0
8507.69,4/15/17,0
8507.69,4/15/17,0
8507.69,4/16/17,0
8507.69,4/16/17,0
8507.69,4/17/17,0
8507.69,4/17/17,0
8507.69,4/18/17,1
8507.69,4/18/17,1
8631.15,4/19/17,1
8631.15,4/19/17,1
8799.5,4/20/17,1
8799.5,4/20/17,1
8763.67,4/21/17,1
8763.67,4/21/17,1
8938.58,4/22/17,1
8938.58,4/22/17,1
8915.03,4/23/17,1
8915.03,4/23/17,1
8793.51,4/24/17,1
8793.51,4/24/17,1
9066.88,4/25/17,1
9066.88,4/25/17,1
9277.32,4/26/17,1
9277.32,4/26/17,1
9127.86,4/27/17,1
9127.86,4/27/17,1
9434.53,4/28/17,1
9434.53,4/28/17,1
9460.64,4/29/17,1
9460.64,4/29/17,1
9446.62,4/30/17,1
9446.62,4/30/17,1
10043.13,5/1/17,1
10043.13,5/1/17,1
10290.48,5/2/17,1
10290.48,5/2/17,1
10258.4,5/3/17,1
10258.4,5/3/17,1
10688.86,5/4/17,1
10688.86,5/4/17,1
10866.33,5/5/17,1
10866.33,5/5/17,1
10762.97,5/6/17,1
10762.97,5/6/17,1
10884.28,5/7/17,1
10884.28,5/7/17,1
11626.62,5/8/17,1
11626.62,5/8/17,1
11700.89,5/9/17,1
11700.89,5/9/17,1
12493.09,5/10/17,1
12493.09,5/10/17,1
12904.86,5/11/17,1
12904.86,5/11/17,1
12961.62,5/12/17,0
12961.62,5/12/17,0
12707.47,5/13/17,0
12707.47,5/13/17,0
12707.47,5/14/17,0
12707.47,5/14/17,0
12707.47,5/15/17,0
12707.47,5/15/17,0
12707.47,5/16/17,1
12707.47,5/16/17,1
12948.7,5/17/17,1
12948.7,5/17/17,1
12780.31,5/18/17,1
12780.31,5/18/17,1
14052.2,5/19/17,1
14052.2,5/19/17,1
14706.91,5/20/17,0
14706.91,5/20/17,0
14418.54,5/21/17,1
14418.54,5/21/17,1
14711.59,5/22/17,1
14711.59,5/22/17,1
16098.18,5/23/17,1
16098.18,5/23/17,1
15877.29,5/24/17,1
15877.29,5/24/17,1
16798.31,5/25/17,0
16798.31,5/25/17,0
16468.93,5/26/17,1
16468.93,5/26/17,1
16641.22,5/27/17,0
16641.22,5/27/17,0
16314.92,5/28/17,1
16314.92,5/28/17,1
16600.03,5/29/17,1
16600.03,5/29/17,1
16702.79,5/30/17,1
16702.79,5/30/17,1
16672.99,5/31/17,1
16672.99,5/31/17,1
17499.43,6/1/17,1
17499.43,6/1/17,1
17577.38,6/2/17,1
17577.38,6/2/17,1
18422.25,6/3/17,1
18422.25,6/3/17,1
18352.29,6/4/17,1
18352.29,6/4/17,1
18449.71,6/5/17,1
18449.71,6/5/17,1
21030.11,6/6/17,0
21030.11,6/6/17,0
20617.75,6/7/17,0
20617.75,6/7/17,0
20617.75,6/8/17,1
20617.75,6/8/17,1
21301.83,6/9/17,1
21301.83,6/9/17,1
21436.55,6/10/17,1
21436.55,6/10/17,1
21837.78,6/11/17,0
21837.78,6/11/17,0
21409.59,6/12/17,1
21409.59,6/12/17,1
21704.62,6/13/17,1
21704.62,6/13/17,1
21371.45,6/14/17,0
21371.45,6/14/17,0
20952.4,6/15/17,0
20952.4,6/15/17,0
20952.4,6/16/17,0
20952.4,6/16/17,0
20952.4,6/17/17,0
20952.4,6/17/17,0
20952.4,6/18/17,1
20952.4,6/18/17,1
21441.27,6/19/17,1
21441.27,6/19/17,1
21300.28,6/20/17,1
21300.28,6/20/17,1
21882.3,6/21/17,1
21882.3,6/21/17,1
