资金,日期(月/日/年),操作
500,9/12/16,1
501.03,9/13/16,0
501.03,9/14/16,1
502.31,9/15/16,0
502.31,9/16/16,0
502.31,9/17/16,1
506.07,9/18/16,0
506.07,9/19/16,0
506.07,9/20/16,0
506.07,9/21/16,0
506.07,9/22/16,0
506.07,9/23/16,1
514.42,9/24/16,0
514.42,9/25/16,0
514.42,9/26/16,1
520.41,9/27/16,0
520.41,9/28/16,0
520.41,9/29/16,1
525.18,9/30/16,1
529.86,10/1/16,0
529.86,10/2/16,0
529.86,10/3/16,0
529.86,10/4/16,0
529.86,10/5/16,1
534.14,10/6/16,1
538.62,10/7/16,0
538.62,10/8/16,1
539.42,10/9/16,1
541.08,10/10/16,0
541.08,10/11/16,1
558.89,10/12/16,1
559.73,10/13/16,0
559.73,10/14/16,1
563.19,10/15/16,1
566.26,10/16/16,0
566.26,10/17/16,0
566.26,10/18/16,0
566.26,10/19/16,0
566.26,10/20/16,1
570.05,10/21/16,1
591.3,10/22/16,0
591.3,10/23/16,0
591.3,10/24/16,1
594.86,10/25/16,0
594.86,10/26/16,1
622.96,10/27/16,1
627.95,10/28/16,0
627.95,10/29/16,1
639.02,10/30/16,1
642.68,10/31/16,2
644.546,11/1/16,1
671.418,11/2/16,0
671.42,11/3/16,0
671.42,11/4/16,1
692.14,11/5/16,1
699.22,11/6/16,0
699.22,11/7/16,0
699.22,11/8/16,1
711.02,11/9/16,1
711.58,11/10/16,0
711.58,11/11/16,0
711.58,11/12/16,0
711.58,11/13/16,1
715.82,11/14/16,1
720.33,11/15/16,1
721.16,11/16/16,1
746.72,11/17/16,1
757.42,11/18/16,1
758.9,11/19/16,0
758.9,11/20/16,1
768.76,11/21/16,0
768.76,11/22/16,1
773.62,11/23/16,0
773.62,11/24/16,0
773.62,11/25/16,0
773.62,11/26/16,0
773.62,11/27/16,0
773.62,11/28/16,1
779.36,11/29/16,1
789.98,11/30/16,0
789.98,12/1/16,1
822.32,12/2/16,0
822.32,12/3/16,0
822.32,12/4/16,0
822.32,12/5/16,1
824.49,12/6/16,1
827.07,12/7/16,1
838.76,12/8/16,1
839.09,12/9/16,0
839.09,12/10/16,1
847.73,12/11/16,0
847.73,12/12/16,1
848.81,12/13/16,0
848.81,12/14/16,1
850.85,12/15/16,0
850.85,12/16/16,1
864.91,12/17/16,0
864.91,12/18/16,1
865.21,12/19/16,1
870.06,12/20/16,1
904.2,12/21/16,1
916.0,12/22/16,1
988.78,12/23/16,0
988.78,12/24/16,1
989.88,12/25/16,1
995.13,12/26/16,1
1031.77,12/27/16,0
1031.77,12/28/16,1
1068.41,12/29/16,0
1068.41,12/30/16,1
1075.11,12/31/16,1
1119.55,1/1/17,1
1140.03,1/2/17,1
1137.17,1/3/17,1
1264.35,1/4/17,2
1240.651,1/5/17,2
1239.75,1/6/17,2
1242.54,1/7/17,2
1242.54,1/8/17,2
1242.54,1/9/17,2
1254.14,1/10/17,2
1242.59,1/11/17,2
1270.53,1/12/17,1
1305.19,1/13/17,1
1291.95,1/14/17,1
1294.54,1/15/17,1
1311.84,1/16/17,1
1427.69,1/17/17,1
1432.05,1/18/17,1
1414.99,1/19/17,1
1411.55,1/20/17,1
1414.74,1/21/17,1
1451.01,1/22/17,1
1456.49,1/23/17,1
1453.17,1/24/17,0
1424.68,1/25/17,1
1432.58,1/26/17,1
1431.16,1/27/17,1
1439.39,1/28/17,1
1432.54,1/29/17,1
1426.69,1/30/17,1
1508.83,1/31/17,1
1532.29,2/1/17,1
1538.1,2/2/17,1
1584.41,2/3/17,1
1612.52,2/4/17,1
1617.32,2/5/17,1
1601.59,2/6/17,1
1642.41,2/7/17,1
1646.68,2/8/17,0
1614.39,2/9/17,1
1620.03,2/10/17,1
1617.58,2/11/17,1
1622.47,2/12/17,1
1621.29,2/13/17,1
1623.43,2/14/17,1
1641.47,2/15/17,1
1678.57,2/16/17,1
1678.56,2/17/17,1
1713.32,2/18/17,1
1707.06,2/19/17,1
1703.96,2/20/17,1
1822.2,2/21/17,1
1821.28,2/22/17,1
1832.28,2/23/17,1
1905.01,2/24/17,0
1867.66,2/25/17,0
1867.66,2/26/17,1
1895.32,2/27/17,1
1890.25,2/28/17,1
1895.54,3/1/17,1
2004.6,3/2/17,1
2045.55,3/3/17,1
2048.51,3/4/17,1
2022.94,3/5/17,1
2029.73,3/6/17,1
2036.58,3/7/17,0
1996.65,3/8/17,1
2016.82,3/9/17,1
2016.18,3/10/17,1
1994.31,3/11/17,1
2076.06,3/12/17,1
2076.37,3/13/17,1
2106.29,3/14/17,1
2126.63,3/15/17,1
2125.95,3/16/17,0
2084.26,3/17/17,0
2084.26,3/18/17,0
2084.26,3/19/17,1
2215.27,3/20/17,1
2362.12,3/21/17,1
2350.23,3/22/17,0
2304.15,3/23/17,0
2304.15,3/24/17,0
2304.15,3/25/17,1
2329.22,3/26/17,1
2525.05,3/27/17,1
2534.33,3/28/17,1
2533.2,3/29/17,1
2526.7,3/30/17,1
2519.0,3/31/17,1
2646.05,4/1/17,1
2675.85,4/2/17,1
2629.16,4/3/17,1
2779.15,4/4/17,1
2758.41,4/5/17,1
2759.51,4/6/17,1
2898.09,4/7/17,1
2875.44,4/8/17,1
2882.45,4/9/17,1
2940.18,4/10/17,1
2986.12,4/11/17,1
2967.8,4/12/17,0
2909.61,4/13/17,0
2909.61,4/14/17,0
2909.61,4/15/17,0
2909.61,4/16/17,0
2909.61,4/17/17,0
2909.61,4/18/17,1
2951.83,4/19/17,1
3009.41,4/20/17,1
2997.16,4/21/17,1
3056.98,4/22/17,1
3048.93,4/23/17,1
3007.37,4/24/17,1
3100.86,4/25/17,1
3172.83,4/26/17,1
3121.72,4/27/17,1
3226.6,4/28/17,1
3235.53,4/29/17,1
3230.73,4/30/17,1
3434.74,5/1/17,1
3519.33,5/2/17,1
3508.36,5/3/17,1
3655.58,5/4/17,1
3716.28,5/5/17,1
3680.93,5/6/17,1
3722.42,5/7/17,1
3976.3,5/8/17,1
4001.7,5/9/17,1
4272.63,5/10/17,1
4413.45,5/11/17,1
4432.86,5/12/17,0
4345.94,5/13/17,0
4345.94,5/14/17,0
4345.94,5/15/17,0
4345.94,5/16/17,1
4428.44,5/17/17,1
4370.85,5/18/17,1
4805.83,5/19/17,1
5029.74,5/20/17,0
4931.12,5/21/17,1
5031.34,5/22/17,1
5505.55,5/23/17,1
5430.01,5/24/17,1
5745.0,5/25/17,0
5632.35,5/26/17,1
5691.27,5/27/17,0
5579.68,5/28/17,1
5677.19,5/29/17,1
5712.34,5/30/17,1
5702.15,5/31/17,1
5984.79,6/1/17,1
6011.45,6/2/17,1
6300.4,6/3/17,1
6276.47,6/4/17,1
6309.79,6/5/17,1
7192.29,6/6/17,0
7051.26,6/7/17,0
7051.26,6/8/17,1
7285.21,6/9/17,1
7331.28,6/10/17,1
7468.5,6/11/17,0
7322.06,6/12/17,1
7422.96,6/13/17,1
7309.02,6/14/17,0
7165.71,6/15/17,0
7165.71,6/16/17,0
7165.71,6/17/17,0
7165.71,6/18/17,1
7332.9,6/19/17,1
7284.68,6/20/17,1
7483.73,6/21/17,1
7641.32,6/22/17,1
7602.63,6/23/17,0
7453.56,6/24/17,0
7453.56,6/25/17,0
7453.56,6/26/17,0
7453.56,6/27/17,1
7503.15,6/28/17,1
7424.65,6/29/17,0
7279.07,6/30/17,0
7279.07,7/1/17,0
7279.07,7/2/17,1
7548.87,7/3/17,1
7662.36,7/4/17,1
7659.88,7/5/17,1
7692.53,7/6/17,0
7541.7,7/7/17,0
7541.7,7/8/17,0
7541.7,7/9/17,0
7541.7,7/10/17,0
7541.7,7/11/17,1
7580.2,7/12/17,1
7481.81,7/13/17,1
7430.04,7/14/17,0
7284.35,7/15/17,0
7284.35,7/16/17,0
7284.35,7/17/17,1
8670.62,7/18/17,0
8500.61,7/19/17,0
8500.61,7/20/17,1
9868.06,7/21/17,1
