日期,标签,预测值,真实值,误差
9/13/16,0,610.92,597.6899999999999,13.230000000000018
9/14/16,0,608.82,603.3499999999999,5.470000000000141
9/15/16,0,610.38,603.455,6.9249999999999545
9/16/16,0,609.11,605.2710000000001,3.838999999999942
9/17/16,1,607.04,605.4913333333334,1.548666666666577
9/18/16,1,611.58,604.5857142857144,6.994285714285638
9/19/16,0,610.19,606.4582142857143,3.7317857142857065
9/20/16,0,608.66,607.075,1.5849999999999227
9/21/16,0,598.88,606.916,8.036000000000058
9/22/16,0,597.42,603.2872727272728,5.867272727272848
9/23/16,0,594.08,600.2596969696971,6.179696969697034
9/24/16,1,603.88,597.0607692307693,6.819230769230671
9/25/16,1,601.74,597.5079120879121,4.232087912087877
9/26/16,0,598.98,597.3300952380953,1.649904761904736
9/27/16,0,605.96,596.542,9.418000000000006
9/28/16,0,605.67,597.5938235294118,8.076176470588166
9/29/16,0,603.85,598.4090196078431,5.440980392156916
9/30/16,0,609.39,598.7166666666667,10.67333333333329
10/1/16,1,614.82,600.0994210526316,14.720578947368494
10/2/16,1,612.98,602.3039047619046,10.6760952380954
10/3/16,0,611.85,603.8367532467532,8.01324675324679
10/4/16,0,609.62,604.9486956521738,4.671304347826208
10/5/16,0,607.18,605.5326811594202,1.6473188405797146
10/6/16,0,612.08,605.6484,6.431600000000003
10/7/16,0,617.21,606.5052307692308,10.704769230769216
10/8/16,1,614.74,608.0134472934473,6.726552706552752
10/9/16,1,615.65,608.9816666666668,6.66833333333318
10/10/16,0,617.54,609.9584236453203,7.581576354679669
10/11/16,0,614.77,611.0722758620692,3.697724137930777
10/12/16,0,635.01,611.7012903225808,23.308709677419188
10/13/16,0,635.96,614.7891330645161,21.1708669354839
10/14/16,0,634.02,617.6619886363636,16.358011363636365
10/15/16,1,637.94,620.0063636363636,17.933636363636424
10/16/16,1,641.42,622.5583025210084,18.861697478991573
10/17/16,0,638.97,625.2418253968253,13.728174603174693
10/18/16,0,636.29,627.3986936936936,8.89130630630632
10/19/16,0,629.25,629.0659459459459,0.18405405405405872
10/20/16,0,627.72,629.8521457489879,2.1321457489879094
10/21/16,0,631.92,630.4069615384615,1.5130384615384855
10/22/16,1,655.48,631.3148048780487,24.165195121951342
10/23/16,1,653.25,634.3817537746805,18.868246225319467
10/24/16,0,651.39,636.9827242524916,14.407275747508379
10/25/16,0,655.31,639.1980972515856,16.11190274841431
10/26/16,0,651.45,641.5795454545454,9.870454545454663
10/27/16,0,682.22,643.4338260869564,38.786173913043626
10/28/16,0,687.68,647.7581498612396,39.921850138760306
10/29/16,1,685.91,652.2114982269503,33.69850177304966
10/30/16,1,698.0,656.1907653061226,41.80923469387744
10/31/16,0,702.0,660.8464,41.15359999999998
11/1/16,0,697.01,665.4834039215687,31.52659607843134
11/2/16,0,733.33,669.4109049773755,63.91909502262456
11/3/16,0,686.17,675.8060014513787,10.363998548621225
11/4/16,0,683.69,678.2787211740041,5.411278825995964
11/5/16,1,704.79,680.3982222222222,24.391777777777747
11/6/16,1,712.0,683.876987012987,28.123012987013
11/7/16,0,709.96,687.6328759398497,22.327124060150368
11/8/16,0,708.97,691.0060617059892,17.96393829401086
11/9/16,0,720.93,694.0964874342491,26.83351256575088
11/10/16,0,721.5,697.7883672316385,23.711632768361483
11/11/16,0,715.45,701.2901967213115,14.159803278688514
11/12/16,1,703.71,704.1883183500794,0.4783183500793484
11/13/16,1,702.28,706.1642857142858,3.884285714285852
11/14/16,0,706.46,707.9271428571428,1.4671428571427896
11/15/16,0,710.91,709.8368798076922,1.0731201923077833
11/16/16,0,711.73,711.8998881118881,0.16988811188809905
11/17/16,0,736.96,713.8891723202171,23.07082767978295
11/18/16,0,747.52,717.245482879719,30.27451712028096
11/19/16,1,748.98,721.0292327365728,27.950767263427224
11/20/16,1,729.06,724.6927329192546,4.367267080745364
11/21/16,0,738.53,727.0388329979878,11.491167002012162
11/22/16,0,736.97,729.7824139280126,7.187586071987425
11/23/16,0,741.63,732.2945547945206,9.335445205479346
11/24/16,0,737.45,734.9254572380601,2.5245427619399834
11/25/16,0,735.64,737.1964756756756,1.5564756756756424
11/26/16,1,733.67,739.2535894736841,5.583589473684128
11/27/16,1,727.96,741.1009706083389,13.140970608338876
11/28/16,0,727.31,742.5589343989344,15.248934398934466
11/29/16,0,732.71,743.9059006815967,11.19590068159664
11/30/16,0,742.69,745.4506930379746,2.7606930379745336
12/1/16,0,742.05,747.4085833333334,5.358583333333399
12/2/16,0,772.43,749.2389159891598,23.1910840108402
12/3/16,1,764.33,752.4435615633265,11.88643843667353
12/4/16,1,762.97,755.1165433161217,7.853456683878335
12/5/16,0,754.63,757.6030672268909,2.973067226890862
12/6/16,0,756.62,759.5881805745555,2.968180574555504
12/7/16,0,758.99,761.5727238706229,2.5827238706228854
12/8/16,0,769.72,763.5740125391851,6.145987460814922
12/9/16,0,770.02,765.9669433094996,4.053056690500398
12/10/16,1,769.08,768.2683895131087,0.811610486891368
12/11/16,1,777.0,770.4283443223444,6.571655677655599
12/12/16,0,777.0,772.8389297658863,4.1610702341137085
12/13/16,0,777.99,775.1473702664797,2.8426297335203117
12/14/16,0,774.89,777.4006588881264,2.510658888126386
12/15/16,0,776.75,779.4291825307952,2.679182530795174
12/16/16,0,775.88,781.4501337719298,5.570133771929818
12/17/16,1,788.7,783.3512951030929,5.348704896907179
12/18/16,1,788.4,785.6969513991164,2.7030486008835624
12/19/16,0,788.67,787.9368150896722,0.7331849103277364
12/20/16,0,793.09,790.0984303030303,2.991569696969691
12/21/16,0,824.21,792.3496316831684,31.860368316831682
12/22/16,0,834.97,795.7335235876528,39.2364764123472
12/23/16,1,901.31,799.4099314677328,101.90006853226714
12/24/16,1,891.61,805.5038032113519,86.10619678864816
12/25/16,1,892.6,811.0146666666668,81.58533333333321
12/26/16,1,897.33,816.3704043126686,80.95959568733144
12/27/16,1,930.37,821.7171363075297,108.6528636924703
12/28/16,0,930.34,828.1035565939774,102.23644340602266
12/29/16,0,963.38,834.2729714576963,129.10702854230374
12/30/16,1,952.15,841.4365521267725,110.71344787322744
12/31/16,1,958.12,847.958448812449,110.16155118755103
1/1/17,1,997.72,854.4784459459459,143.24155405405418
1/2/17,1,1015.97,862.186825221239,153.783174778761
1/3/17,0,1013.42,870.287324949542,143.13267505045792
1/4/17,0,1126.76,878.040832951945,248.71916704805494
1/5/17,0,994.67,889.4567136431783,105.21328635682164
1/6/17,0,999.65,896.0030621868552,103.64693781314475
1/7/17,1,896.83,902.5115558452846,5.681555845284606
1/8/17,1,908.14,905.3599045719984,2.780095428001573
1/9/17,0,910.49,908.4895126050421,2.0004873949578723
1/10/17,0,906.05,911.5937314049586,5.543731404958635
1/11/17,0,785.22,914.4508698008399,129.23086980083986
1/12/17,0,780.92,913.2849233639879,132.36492336398794
1/13/17,0,826.29,912.0009323367427,85.71093233674276
1/14/17,1,817.91,912.1927896774192,94.28278967741926
1/15/17,1,819.55,912.1016406349206,92.55164063492066
1/16/17,0,830.5,912.053232095988,81.55323209598805
1/17/17,0,903.84,912.3371370570867,8.497137057086661
1/18/17,0,906.6,914.8764692344962,8.276469234496176
1/19/17,0,895.798875,917.4215778175312,21.622702817531263
1/20/17,0,893.6210875,919.5581958308865,25.937108330886417
1/21/17,1,895.64,921.5615733923203,25.921573392320283
1/22/17,1,918.603625,923.562463384313,4.958838384313026
1/23/17,0,922.0736125,926.1861977191111,4.112585219111111
1/24/17,0,919.97,928.8344579809287,8.864457980928705
1/25/17,0,893.045625,931.3425092851305,38.296884285130545
1/26/17,0,915.95625,932.9902681448584,17.034018144858464
1/27/17,0,915.05,935.2502906709509,20.20029067095095
1/28/17,1,920.31225,937.4174213989679,17.10517139896797
1/29/17,1,915.933,939.6709080228675,23.737908022867487
1/30/17,0,912.19,941.7344988589158,29.544498858915745
1/31/17,0,964.706075,943.6321525734193,21.073922426580793
2/1/17,0,979.703875,946.9427962560326,32.76107874396746
2/2/17,0,983.42,950.5801299764473,32.839870023552635
2/3/17,0,1013.027,954.2227752837645,58.80422471623558
2/4/17,1,1030.999413,958.5798752657063,72.41953773429373
2/5/17,1,1034.07,963.31293980137,70.75706019862992
2/6/17,0,1024.01375,968.0077299430502,56.006020056949865
2/7/17,0,1050.11,972.3129362989753,77.79706370102463
2/8/17,0,1052.84,977.2042488764653,75.63575112353465
2/9/17,0,976.103,982.045177638543,5.942177638543058
2/10/17,0,999.1035,984.7459095781196,14.357590421880445
2/11/17,1,997.59,987.9768433849761,9.613156615023968
2/12/17,1,1000.604625,991.085763852177,9.518861147823031
2/13/17,0,999.877375,994.1930563472561,5.684318652743968
2/14/17,0,1001.2,997.202814573325,3.9971854266750597
2/15/17,0,1012.325988,1000.1700526909603,12.155935309039705
2/16/17,0,1035.208125,1003.3441637142222,31.86396128577792
2/17/17,0,1035.2,1007.0150418853198,28.184958114680285
2/18/17,1,1056.637138,1010.5964500055425,46.040687994457585
2/19/17,1,1052.779286,1014.623667017042,38.155618982958
2/20/17,0,1050.87,1018.4597214233956,32.41027857660424
2/21/17,0,1123.788429,1022.1576758015224,101.63075319847758
2/22/17,0,1123.223188,1027.5463592687788,95.67682873122112
2/23/17,0,1130.01,1032.7982166848853,97.21178331511464
2/24/17,0,1174.86625,1038.0940472182913,136.77220278170876
2/25/17,1,1150.605714,1044.3444460401486,106.26126795985147
2/26/17,1,1150.37,1049.8781439760835,100.4918560239164
2/27/17,0,1190.75195,1055.2827730797758,135.4691769202243
2/28/17,0,1187.565286,1061.5173935735816,126.04789242641846
3/1/17,0,1190.89,1067.5409533483662,123.3490466516339
3/2/17,0,1259.410817,1073.5103204560382,185.9004965439617
3/3/17,0,1285.14,1080.934254562609,204.205745437391
3/4/17,1,1287.0,1088.7913503603418,198.20864963965823
3/5/17,1,1270.9333,1096.524782211133,174.4085177888669
3/6/17,0,1275.197375,1103.7301726659416,171.46720233405836
3/7/17,0,1279.5,1110.880289974737,168.61971002526298
3/8/17,0,1157.3933,1117.9773034255381,39.415996574461815
3/9/17,0,1192.469143,1122.1976674332122,70.27147556678779
3/10/17,0,1192.09,1127.1061554306953,64.98384456930467
3/11/17,1,1179.159875,1131.9021034844384,47.25777151556167
3/12/17,1,1227.494625,1136.3124128640943,91.18221213590573
3/13/17,0,1227.68,1141.685657099772,85.99434290022805
3/14/17,0,1245.370786,1146.9515374765683,98.41924852343163
3/15/17,0,1257.399625,1152.4911170080202,104.90850799197983
3/16/17,0,1257.0,1158.1759708929671,98.82402910703286
3/17/17,0,1091.171888,1163.7367078417285,72.56481984172842
3/18/17,1,952.2323625,1165.6564955654512,213.4241330654512
3/19/17,1,967.69,1164.5910493258752,196.9010493258752
3/20/17,0,1049.084488,1163.8615708680031,114.77708286800316
3/21/17,0,1118.630043,1164.841114521163,46.21107152116315
3/22/17,0,1113.0,1167.2428570863876,54.24285708638763
3/23/17,0,1038.789,1169.47564365374,130.68664365374002
3/24/17,0,941.9197143,1170.1293722395703,228.20965793957032
3/25/17,1,927.93,1168.7757195837116,240.84571958371168
3/26/17,1,956.7863125,1167.15224622146,210.36593372146
3/27/17,0,1037.22925,1166.1351765854295,128.90592658542937
3/28/17,0,1041.04,1166.752977322053,125.71297732205312
3/29/17,0,1040.5755,1167.4284148274553,126.85291482745538
3/30/17,0,1037.90455,1168.0747363477085,130.17018634770852
3/31/17,0,1034.74,1168.6487314240348,133.90873142403484
4/1/17,1,1086.929571,1169.1422838962021,82.21271289620222
4/2/17,1,1099.169125,1170.6479459500806,71.47882095008072
4/3/17,0,1079.99,1172.3601059957116,92.37010599571158
4/4/17,0,1141.600363,1173.6612128075035,32.06084980750347
4/5/17,0,1133.079314,1176.1289985172914,43.049684517291325
4/6/17,0,1133.53,1178.3829358733315,44.85293587333149
4/7/17,0,1190.45425,1180.6001956120401,9.854054387959877
4/8/17,1,1181.149838,1183.862415555608,2.71257755560805
4/9/17,1,1184.03,1186.885720115352,2.8557201153519145
4/10/17,0,1207.744875,1189.9061886357076,17.83868636429247
4/11/17,0,1226.617038,1193.3169899743716,33.300048025628485
